Product ID,Product Position,Promotion,Product Category,Seasonal,Sales Volume,Brand,Url,Name,Description,Price,Currency,Terms,Section,Season,Material,Origin
185102,Aisle,Yes,clothing,Yes,1243,Zara,https://www.zara.com/us/en/basic-puffer-jacket-p06985450.html,BASIC PUFFER JACKET,Puffer jacket made of tear-resistant ripstop fabric. High collar and adjustable long sleeves with adhesive straps. Welt pockets at hip. Adjustable hem with side elastics. Front zip closure.,78.99,USD,jackets,MAN,Winter,Polyester,Brazil
188771,Aisle,Yes,clothing,No,1429,Zara,https://www.zara.com/us/en/tuxedo-jacket-p08896675.html,TUXEDO JACKET,Straight fit blazer. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Central back vent at hem. Front button closure.,14.99,USD,jackets,MAN,Autumn,Cotton,Turkey
180176,End-cap,Yes,clothing,Yes,1168,Zara,https://www.zara.com/us/en/slim-fit-suit-jacket-p01564520.html,SLIM FIT SUIT JACKET,Slim fit jacket. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,71.95,USD,jackets,WOMAN,Autumn,Polyester,Morocco
112917,Aisle,Yes,clothing,No,1348,Zara,https://www.zara.com/us/en/stretch-suit-jacket-p01564300.html,STRETCH SUIT JACKET,Slim fit jacket made of viscose blend fabric. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,30.99,USD,jackets,MAN,Spring,Polyester,China
192936,End-cap,Yes,clothing,Yes,1602,Zara,https://www.zara.com/us/en/double-faced-jacket-p08281477.html,DOUBLE FACED JACKET,Jacket made of faux leather faux shearling with fleece interior. Tabbed lapel collar. Long sleeves. Zip pockets at hip. Front zip closure.,22.99,USD,jackets,WOMAN,Winter,Wool Blend,China
117590,End-cap,Yes,clothing,Yes,1282,Zara,https://www.zara.com/us/en/contrasting-collar-jacket-p06987331.html,CONTRASTING COLLAR JACKET,Relaxed fit jacket. Contrasting lapel collar and long sleeves with buttoned cuffs. Front pouch pockets. Interior pocket. Washed effect. Front zip closure.,25.95,USD,jackets,WOMAN,Autumn,Cotton,Turkey
189118,Front of Store,No,clothing,No,688,Zara,https://www.zara.com/us/en/faux-leather-puffer-jacket-p08281420.html,FAUX LEATHER PUFFER JACKET,Faux leather puffer jacket. High collar and long sleeves with ribbed interior cuffs. Welt pockets at hip. Interior pocket. Adjustable hem with side elastics. Front zip closure.,87.99,USD,jackets,MAN,Winter,Acrylic,China
182157,Aisle,Yes,clothing,Yes,1711,Zara,https://www.zara.com/us/en/suit-jacket-in-100-linen-p04307408.html,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,24.00,USD,jackets,WOMAN,Summer,Cotton,Portugal
141861,Aisle,No,clothing,Yes,857,Zara,https://www.zara.com/us/en/100-wool-suit-jacket-p05955218.html,100% WOOL SUIT JACKET,Jacket made of Italian wool. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,32.95,USD,jackets,WOMAN,Winter,Wool,India
137121,Aisle,No,clothing,No,769,Zara,https://www.zara.com/us/en/100-feather-fill-puffer-jacket-p04302305.html,100% FEATHER FILL PUFFER JACKET,Puffer jacket made of shiny finish technical fabric. Fill is a blend of 80% down and 20% feathers. High collar with adjustable hood and long sleeves with elastic cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip closure.,39.95,USD,jackets,MAN,Autumn,Wool Blend,China
